;;;;;
Terim;İngilizce;Açıklaması;İlgili Yazı;;
Açık mimari;Open Architecture;"Açık Mimari, açık standartları kullanarak geliştirilmiş ve yeni bileşen ekleme, değiştirme ve yerine farklısını koyma yada çıkartmayı kolaylaştırmış bilgisayar yada yazılım mimarisi olarak tanımlanabilir.  Açık ve ortak kabul görmüş standartların kullanımı
Arayüz protokol ve veri standartlarının kabul edilmesi
Standart servislerin belirlenmesi
Birden fazla üretici tarafından sağlanan ürünlerin kullanımı
En az çaba ile birlikte çalışabilirlik
Kolayca ölçeklenebilir ve güncellenebilir sistemler
Taşınabilir uygulamalar
Taşınabilir kullanıcılar(kullanıcıların aynı amaçlı farklı sistemlere kolayca adapte olması)";https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/a%C3%A7%C4%B1k-sistem-mimarileri-1-temel-%C3%B6zellikler-6a413b754a62;;
Arakatman ;middleware;Dağıtık ortamda farklı çalışabilir modüller olarak geliştirilen yazılımın bir bütün olarak çalışabilmesi için başta veri alışverişi olmak üzere farklı seviyelerde işbirliği yapmaları gerekmektedir. Dağıtık ortamda çalışan bu uygulamaların iletişimi için kendimizin geliştireceği TCP/IP yada UDP protokolü ile haberleşen kütüphanelerden yerine Arakatman yazılımları dağıtık uygulamalar ile işletim sistemi ve haberleşme protokolü arasında bir katman olarak görülmektedir. Heterojen bir sistemde tüm farklılıkları yöneterek üst seviye uygulamaları karmaşıklıktan kurtarır. Aynı zamanda bu uygulamaların herhangi bir anda hangi bilgisayar üzerinde çalıştığı, o an hayatta olup olmadığı, veriyi almaya hazır olup olmadığı gibi daha birçok teknik problemi çözmek üzere tasarlanmaktadır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/arakatmanlar-1-arakatman-yaz%C4%B1l%C4%B1mlar%C4%B1-genel-bilgiler-c6c8d5e8f23a;;
Bağımlılık;Coupling;"Bağımlılık kod seviyesi (kod), kurulabilme (deployment) veya çalışma zamanı (execution time) olabilmektedir. Her bir seviye bağımlılığın azaltılması farklı açılardan projeye fayda sağlayacaktır.  
Veri Yapısı Bağımlılığında bir bileşen diğer bir bileşen ile bir nesne yada veri yapısının tamamını paylaşır. Kontrol bağımlılığında bir başka bir bileşenin nasıl işleyeceği ile ilgili kontrol algoritmasını belirler. 
Dış bağımlılıkta yazılım bileşeni dış bir donanıma yada başka bir yazılıma bağımlıdır. 
Ortak bağımlılıkta ise iki bileşen ortak bir veri yapısına bağımlıdır.
İçerik Bağımlılığında bir bileşen diğer bileşenin verisini yada kontrol akışını değiştirir. Bu en kötü bağımlılıktır.";https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/tasar%C4%B1m%C4%B1n-temelleri-2-ba%C4%9F%C4%B1ml%C4%B1l%C4%B1k-ve-uyumluluk-tasar%C4%B1m-prensipleri-20e28490e985;;
Bileşen tabanlı mimari ;Component Based Architecture;Sistem küçük bileşenler ve bu bileşenleri bir arada tutan bileşen yöneticisinden meydana gelir. Bileşen yöneticisi çalışma zamanında kendisine tanımlanan bileşenleri başlatabilir, durdurabilir. Bileşenlerin genelde tanımlı standart ara yüzleri bulunmaktadır. ;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/mimari-tasar%C4%B1m-kal%C4%B1plar%C4%B1-94a4f47d32a8;;
Desen;Pattern ;Mimari desenler ise tekrarlanan tasarım problemlerine bulunmuş ve çalıştığı ispat edilmiş çözüm yöntemleridir. Bina mimari tasarımında kullanılan tasarım kalıpları ile benzer yaklaşımdadır.  Mimari desenler, yazılım geliştirmede kullanılan tasarım desenlerine göre daha üst seviyede görülmektedir.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarisi-temel-kavramlar-4de64353b4ac;;
Durum Makinesi;State Machine;Nesnelerin kontrol ve durum akışını modellemek için kullanılır.  Durum(State) tasarladığımız sistemin belirli bir işi yaptığı yada başka bir duruma geçmek için uyarı beklediği koşullardır. laylar (Event) sistemde durum değişikliğine sebep olan iç veya dış itkilerdir. Bir tuşa basılması, belirli bir zamanın geçmesi, kapının açılması birer olay olarak durum değişikliğine sebep olurlar.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/g%C3%B6m%C3%BCl%C3%BC-ve-ger%C3%A7ek-zamanl%C4%B1-tasar%C4%B1m-kal%C4%B1plar%C4%B1-1-durum-makineleri-e9ab5200decb;;
Kalite Öznitelikleri Çalıştayı ;Quality Attribute Workshop;Proje paydaşlarını bir araya getirerek etkileşim ile gereksinimler üzerinde hemfikir olmayı hedefler. Bu etkileşim geliştirilen sistemin paydaşların beklentileri ile uyumlu olmasını ve projenin geliştirme aşamasında başarısızlığa sebep olacak hataya dayanıklılık, performans gibi kalite gereksinimlerinin erken aşamada tasarıma girmesini sağlayacaktır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/kalite-%C3%B6znitelikleri-%C3%A7al%C4%B1%C5%9Ftay%C4%B1-ya-da-kalite-fikir-f%C4%B1rt%C4%B1nas%C4%B1-a521409c7a23;;
Kalite Öznitelikleri Tabanlı Tasarım ;Attribute Driven Design-ADD;Kalite Öznitelikleri Tabanlı Tasarım öncelikleana kullanım durumları, kalite öznitelik senaryoları, mimari kaygılar ve proje sınırlamaları girdilerin değerlendirilmesi ile başlıyor. Bu veriler değerlendirildikten sonra tekrarlı bir şekilde yazılım mimarisi tasarımı üst seviyeden başlanılarak detaylandırılır. Tasarım problemi daha alt problemlere bölünür. Bu döngüde hangi problemi adresleyeceğine karar verirsin. Genelde ilk iterasyonda sistem mimarisinin ana iskeleti oluşturulur. Daha sonra bu iskeleti destekleyecek ek yapılar tasarlanır. İhtiyaç duyulması durumunda üçüncü ve devamındaki döngülerde hala çözüm üretilmemiş problemler çözümlenir.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarileri-5-kalite-%C3%B6znitelikleri-tabanl%C4%B1-tasar%C4%B1m-fb38d79376f3;;
Katmanlı Mimari;Layered Architecture;Her katman farklı bir fonksiyonu yerine getirir ve genel olarak kendisinden bir alt ve bir üst katman ile iletişim kurar. Katmanlı mimari kalıbında eğer bir katman sadece bir alt katmandan servis alabiliyor ise bu tür sistemlere kapalı katmanlı sistem diyoruz. Bir katman kendinden iki ve daha fazla altta olan katmanlara da erişiyor ise buna açık katmanlı sistem denmektedir.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/mimari-tasar%C4%B1m-kal%C4%B1plar%C4%B1-94a4f47d32a8;;
Mevcut Sistemde Tasarım Değişikliği; BrownField System;Mevcut bir sistemin üzerine sistemin geçmişten gelen tasarımsal kısıtlarını göz önünde tutarak ekleme ve değişiklikler yapılır.;https://medium.com/yaz%C4%B1l%C4%B1m-mimarileri/yaz%C4%B1l%C4%B1m-mimarileri-5-kalite-%C3%B6znitelikleri-tabanl%C4%B1-tasar%C4%B1m-fb38d79376f3;;
